Station,InUit2018,InUit2017,Ontwikkeling
Sassenheim,4808,4181,0.15
Alkmaar Noord,4792,4688,0.02
Heiloo,4762,4662,0.02
Hoogeveen,4667,4674,0
Middelburg,4666,4559,0.02
Amsterdam Science Park,4649,4464,0.04
Baarn,4621,4605,0
Leiden Lammenschans,4591,4219,0.09
Maarssen,4508,4452,0.01
Almere Oostvaarders,4502,4327,0.04
Deurne,4486,4365,0.03
Delft Campus,4472,4276,0.05
Hilversum Media Park,4461,4328,0.03
Bussum Zuid,4452,4363,0.02
Veenendaal-De Klomp,4446,4.37,0.02
Wijchen,4446,4281,0.04
Vleuten,4288.00,4.20,0.02
Elst,4196.00,3.94,0.06
Amsterdam Holendrecht,4175.00,4304.00,-0.03
Den Helder,4143.00,4044.00,0.02
Wormerveer,4133.00,4132.00,0
Utrecht Terwijde,3907.00,3744.00,0.04
Zaltbommel,3862.00,3736.00,0.03
Steenwijk,3825.00,3646.00,0.05
Utrecht Lunetten,3739.00,3597.00,0.04
Almere Parkwijk,3624.00,3109.00,0.17
Dieren,3607.00,3704.00,-0.03
Nijkerk,3597.00,3632.00,-0.01
Rotterdam Zuid,3549.00,3279.00,0.08
Nieuw Vennep,3517.00,3218.00,0.09
Dronten,3478.00,3453.00,0.01
Etten-Leur,3459.00,3333.00,0.04
Voorschoten,3427.00,3314.00,0.03
Voorhout,3424.00,3408.00,0
Nieuwerkerk a/d IJssel,3422.00,3471.00,-0.01
Amersfoort Vathorst,3402.00,3218.00,0.06
Diemen Zuid,3357.00,3229.00,0.04
Den Haag Moerwijk,3307.00,3223.00,0.03
Tiel,3298.00,3637.00,-0.09
De Vink,3267.00,3253.00,0
Bodegraven,3232.00,3159.00,0.02
Arnhem Zuid,3222.00,2917.00,0.1
Diemen,3189.00,3051.00,0.05
Eindhoven Strijp-S,3184.00,2889.00,0.1
Zoetermeer Oost,3177.00,3283.00,-0.03
Den Haag Mariahoeve,3148.00,3139.00,0
Koog aan de Zaan,3069.00,3107.00,-0.01
Gouda Goverwelle,3064.00,3019.00,0.01
Tilburg Reeshof,2996.00,2771.00,0.08
Ermelo,2877.00,2968.00,-0.03
Gilze-Rijen,2806.00,2698.00,0.04
Arnhem Presikhaaf,2795.00,2769.00,0.01
Utrecht Leidsche Rijn,2766.00,2138.00,0.29
Vlissingen,2728.00,2769.00,-0.01
Heemskerk,2664.00,2538.00,0.05
Oisterwijk,2658.00,2486.00,0.07
Horst-Sevenum,2654.00,2541.00,0.04
Hillegom,2576.00,2492.00,0.03
Rosmalen,2528.00,2481.00,0.02
Den Haag Ypenburg,2526.00,2567.00,-0.02
Rijssen,2514.00,2429.00,0.03
Purmerend,2482.00,2372.00,0.05
Rotterdam Noord,2431.00,2448.00,-0.01
Bunnik,2428.00,2284.00,0.06
Overveen,2391.00,2483.00,-0.04
Enkhuizen,2326.00,2312.00,0.01
Capelle Schollevaar,2305.00,2298.00,0
Veenendaal Centrum,2236.00,2277.00,-0.02
Bovenkarspel-Grootebroek,2216.00,2213.00,0
Hoogkarspel,2197.00,2272.00,-0.03
Den Helder Zuid,2146.00,2184.00,-0.02
Beilen,2121.00,2071.00,0.02
Utrecht Zuilen,2094.00,1.87,0.12
Anna Paulowna,2066.00,2121.00,-0.03
Oss West,2061.00,1956.00,0.05
Purmerend Overwhere,2041.00,1939.00,0.05
Abcoude,2035.00,1.87,0.09
Soest Zuid,1916.00,1903.00,0.01
Putten,1904.00,1915.00,-0.01
Kampen Zuid,1899.00,1734.00,0.1
Den Dolder,1898.00,1839.00,0.03
Voorburg,1885.00,2043.00,-0.08
Vught,1852.00,1853.00,0
Waddinxveen,1847.00,1.77,0.04
Helmond Brouwhuis,1766.00,1657.00,0.07
Maarn,1659.00,1661.00,0
Breda-Prinsenbeek,1637.00,1559.00,0.05
Heeze,1628.00,1637.00,-0.01
Purmerend Weidevenne,1627.00,1568.00,0.04
Groningen Europapark,1592.00,1335.00,0.19
Wolvega,1575.00,1699.00,-0.07
't Harde,1525.00,1371.00,0.11
Twello,1518.00,1477.00,0.03
Nijmegen Goffert,1514.00,1236.00,0.22
Geldrop,1511.00,1438.00,0.05
Tiel Passewaaij,1494.00,1557.00,-0.04
Helmond Brandevoort,1493.00,1353.00,0.1
Velp,1482.00,1472.00,0.01
Zaandam Kogerveld,1464.00,1449.00,0.01
Ravenstein,1463.00,1433.00,0.02
Blerick,1445.00,1337.00,0.08
Bloemendaal,1438.00,1399.00,0.03
Obdam,1414.00,1435.00,-0.01
Rhenen,1407.00,1423.00,-0.01
Holten,1382.00,1292.00,0.07
Nijmegen Lent,1381.00,1252.00,0.1
Maarheeze,1347.00,1313.00,0.03
Helmond 't Hout,1344.00,1211.00,0.11
Olst,1319.00,1226.00,0.08
Kapelle-Biezelinge,1277.00,1264.00,0.01
's-Hertogenbosch Oost,1271.00,1262.00,0.01
Apeldoorn Osseveld,1267.00,1198.00,0.06
Wijhe,1217.00,1214.00,0
Haren,1162.00,1121.00,0.04
Zevenbergen,1117.00,1139.00,-0.02
Dordrecht Zuid,1111.00,1076.00,0.03
Driehuis,1072.00,1081.00,-0.01
Brummen,1068.00,1.06,0.01
Wezep,1054.00,1085.00,-0.03
Vlissingen Souburg,947.00,964.00,-0.02
Hollandsche Rading,938.00,901.00,0.04
Waddinxveen Noord,929.00,884.00,0.05
Santpoort Zuid,901.00,874.00,0.03
Kruiningen-Yerseke,872.00,851.00,0.02
Grou-Jirnsum,870.00,942.00,-0.08
Santpoort Noord,833.00,831.00,0
Lage Zwaluwe,832.00,818.00,0.02
Rheden,831.00,831.00,0
Soestdijk,785.00,778.00,0.01
Akkrum,762.00,758.00,0.01
Bovenkarspel Flora,720.00,741.00,-0.03
Krabbendijke,672.00,669.00,0
Wolfheze,600.00,558.00,0.08
Boskoop Snijdelwijk,583.00,,
Arnemuiden,517.00,500.00,0.03
Oosterbeek,478.00,473.00,0.01
Rilland-Bath,465.00,477.00,-0.03
Waddinxveen Triangel,462.00,,
Enschede Kennispark,391.00,2253.00,-0.83
Borne,338.00,2193.00,-0.85
Almelo de Riet,225.00,1243.00,-0.82
Soest,218.00,218.00,0
Eijsden,160.00,182.00,-0.12
Maastricht Randwyck,142.00,160.00,-0.11
Rotterdam Centraal,96.69,92928.00,0.04
Amsterdam Sloterdijk,58.80,54.33,0.08
Amersfoort Centraal,43.71,42604.00,0.03
Haarlem,42.04,41166.00,0.02
Zwolle,41.10,45507.00,-0.1
Rotterdam Alexander,18.31,17938.00,0.02
Den Haag Laan v NOI,16.66,15751.00,0.06
Apeldoorn,14.84,15034.00,-0.01
Weesp,9.93,9729.00,0.02
Oss,8.27,8247.00,0
Weert,7.69,8084.00,-0.05
Rotterdam Lombardijen,6.61,6244.00,0.06
Almere Muziekwijk,6.42,6.40,0
Zaandijk Zaanse Schans,4.19,3804.00,0.1
Haarlem Spaarnwoude,3.99,3897.00,0.02
Halfweg-Zwanenburg,2.73,2394.00,0.14
Nunspeet,2.66,2824.00,-0.06
Nijmegen Dukenburg,2.46,2182.00,0.13
Arnhem Velperpoort,1.98,1999.00,-0.01
Veenendaal West,1.53,1.58,-0.03
Deventer Colmschate,1.40,1382.00,0.01
Boskoop,1.37,1479.00,-0.07
Wierden,1.25,1806.00,-0.31
Oudenbosch,1.12,1161.00,-0.04
