Station Code,Distance from GLN,Services from/to GLN,Disruptions on path to GLN
AC,185,0.0,200
AH,133,0.0,201
AHP,134,0.0,458
AHPR,136,0.0,458
AHZ,125,0.0,215
AKL,156,0.0,211
AKM,286,0.0,601
ALM,210,0.0,253
ALMB,216,0.0,384
ALMM,209,0.0,252
ALMO,218,0.0,384
ALMP,212,0.0,384
AMF,182,0.0,240
AMFS,185,0.0,480
AML,217,0.0,527
AMPO,207,0.0,252
AMR,239,0.0,525
AMRI,219,0.0,597
AMRN,240,0.0,600
ANA,269,0.0,611
APD,180,0.0,461
APDM,179,0.0,462
APDO,183,0.0,496
APG,349,0.0,631
APN,194,0.0,50
ARN,228,0.0,441
ASA,194,0.0,240
ASB,190,0.0,240
ASD,200,0.0,240
ASDL,207,0.0,498
ASDM,196,0.0,277
ASDZ,196,0.0,254
ASHD,189,0.0,327
ASN,287,0.0,551
ASS,204,0.0,498
ASSP,197,0.0,291
ATN,185,0.0,495
AVAT,188,0.0,486
BD,139,0.0,113
BDE,19,0.0,2
BDG,188,0.0,241
BDM,330,0.0,620
BDPB,144,0.0,436
BET,91,0.0,113
BF,334,0.0,620
BGN,176,0.0,441
BHDV,167,0.0,231
BHV,170,0.0,240
BK,12,0.0,3
BKF,258,0.0,583
BKG,257,0.0,579
BKL,173,0.0,167
BL,271,0.0,551
BLL,211,0.0,43
BMN,155,0.0,461
BMR,89,0.0,138
BN,212,0.0,528
BNC,165,0.0,224
BNK,167,0.0,291
BNN,168,0.0,240
BNZ,163,0.0,224
BP,328,0.0,568
BR,54,0.0,85
BRD,178,0.0,553
BRN,185,0.0,264
BSD,142,0.0,210
BSK,200,0.0,131
BSKS,201,0.0,154
BSMZ,184,0.0,241
BTL,101,0.0,51
BV,221,0.0,45
BZL,208,0.0,472
CAS,227,0.0,522
CK,99,0.0,166
CL,143,0.0,210
CO,257,0.0,614
CPS,194,0.0,191
CVM,21,0.0,19
DA,228,0.0,597
DB,171,0.0,335
DDN,202,0.0,476
DDR,169,0.0,436
DDRS,172,0.0,553
DDZD,168,0.0,459
DEI,308,0.0,568
DID,152,0.0,458
DL,221,0.0,551
DLD,173,0.0,260
DLN,261,0.0,628
DMN,199,0.0,291
DMNZ,194,0.0,243
DN,82,0.0,85
DR,149,0.0,458
DRH,216,0.0,44
DRON,241,0.0,551
DRP,315,0.0,582
DT,169,0.0,18
DTC,163,0.0,478
DTCH,161,0.0,478
DTCP,170,0.0,119
DV,178,0.0,461
DVC,182,0.0,527
DVD,192,0.0,240
DVN,142,0.0,460
DVNK,176,0.0,36
DWE,321,0.0,568
DZ,353,0.0,649
DZW,352,0.0,649
EC,16,0.0,4
ED,150,0.0,201
EDC,152,0.0,223
EDN,34,0.0,4
EEM,360,0.0,648
EGH,20,0.0,18
EGHM,21,0.0,18
EHS,82,0.0,113
EHV,81,0.0,51
EKZ,261,0.0,591
EML,205,0.0,480
EMN,277,0.0,629
EMNZ,273,0.0,628
ES,215,0.0,528
ESK,211,0.0,528
EST,122,0.0,201
ETN,150,0.0,436
FN,321,0.0,568
FWD,318,0.0,568
GBG,250,0.0,614
GD,192,0.0,33
GDG,190,0.0,240
GDM,135,0.0,167
GDR,168,0.0,495
GERP,313,0.0,604
GK,334,0.0,619
GLN,0,0.0,0
GN,315,0.0,604
GND,170,0.0,231
GNN,319,0.0,619
GO,192,0.0,468
GP,75,0.0,58
GR,161,0.0,229
GS,213,0.0,441
GV,163,0.0,18
GVC,164,0.0,33
GVM,168,0.0,33
GVMW,162,0.0,18
GW,291,0.0,608
GZ,129,0.0,109
HAD,204,0.0,43
HB,11,26.61290322580645,1
HBZM,173,0.0,241
HD,209,0.0,483
HDB,244,0.0,601
HDE,227,0.0,551
HDG,314,0.0,568
HDR,281,0.0,620
HDRZ,280,0.0,620
HFD,203,0.0,33
HGL,207,0.0,509
HGLG,205,0.0,509
HGLO,209,0.0,528
HGV,257,0.0,551
HGZ,326,0.0,627
HIL,197,0.0,43
HK,224,0.0,63
HKS,253,0.0,575
HLG,330,0.0,569
HLGH,331,0.0,573
HLM,208,0.0,43
HLMS,209,0.0,43
HLO,234,0.0,525
HM,91,0.0,113
HMBH,90,0.0,113
HMBV,91,0.0,113
HMH,92,0.0,117
HMN,136,0.0,215
HN,243,0.0,519
HNK,244,0.0,575
HNO,221,0.0,551
HNP,346,0.0,571
HON,197,0.0,461
HOR,173,0.0,240
HR,275,0.0,608
HRL,15,26.61290322580645,1
HRLW,17,0.0,18
HRN,309,0.0,604
HRT,64,0.0,137
HT,113,0.0,94
HTN,153,0.0,263
HTNC,152,0.0,263
HTO,114,0.0,167
HVL,178,0.0,241
HVS,179,0.0,240
HVSM,180,0.0,241
HVSP,178,0.0,240
HWD,246,0.0,601
HWZB,211,0.0,519
HZE,70,0.0,53
IJT,329,0.0,569
KBD,195,0.0,441
KBK,171,0.0,461
KLP,157,0.0,223
KMA,218,0.0,532
KMR,23,0.0,18
KMW,351,0.0,576
KPN,224,0.0,551
KPNZ,224,0.0,551
KRD,23,0.0,29
KRG,202,0.0,441
KTR,143,0.0,215
KW,323,0.0,625
KZ,212,0.0,522
LAA,165,0.0,33
LC,179,0.0,461
LDL,180,0.0,43
LDM,149,0.0,211
LEDN,179,0.0,33
LG,18,0.0,18
LLS,234,0.0,384
LLZM,179,0.0,62
LP,341,0.0,631
LTN,158,0.0,224
LTV,197,0.0,463
LUT,8,0.0,2
LW,304,0.0,551
LWC,307,0.0,568
MAS,168,0.0,240
MDB,232,0.0,468
MES,31,0.0,4
MG,314,0.0,568
