hopcount,size,stations
1,2,RM SRN 
2,3,SM STD WT 
3,7,EHV GLN HRL LUT MT MZ RV 
4,13,BD BK EHS HMBV HRLW HT HZE LG MTN MTR SBK TB TG 
5,20,BDE BDPB BET DDR EDN EGH EGHM ETN GP HTO MES O RSD RTD SN TBU UT VDL VL ZBM 
6,33,AMF ASA ASB ASD BGN BR BTL CVM DDRS DT DTCP DVD GD GDG GDM KMR MAS NH ODB RS RTA RTB RTN SDM SGL TBR UTLR UTM UTO UTZL WD ZLW ZWD 
7,42,AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS DDZD DMNZ GS GV GZ HB HLM HOR HRT HVSP KRD KRG LLZM NKK NS NWK OT OW RAI RB RSW SDTB SHL SOG TPSW UTT VG VRY WADT ZVB 
8,34,AC APN ARN ASDL ASSP AVAT BLL BZL DLD DN GVC GVMW HAD HD HFD HN HTNC HVS HWZB KBD LAA LDM MDB OVN PMR PT RLB TL VK VLB VTN WAD ZD ZTMO 
9,30,AKL BMR BSK CAS DMN EML GVM HLMS HM HMBH HNK HTN HVSM KZ LDL NDB NVP PMO RTST RTZ SPTZ STZ VB VS VSS WADN YPB ZDK ZTM ZVT 
10,16,AMPO AMR BSKS BSMZ CK GR HKS HLO HMH LEDN PMW SPTN ST UTLN WP ZZS 
11,12,ALMM AMRN BHDV BKG DRH DVNK MMLH SD SSH UTVR VH WM 
12,10,ALM BKF BNK BRN GND HIL HWD KMA NMH VST 
13,12,ALMB ALMO ALMP DB EKZ HBZM LLS NM OBD SDT SGN UTG 
14,8,AH ANA EST HK MRN NMGO NML WC 
15,12,AHP AHZ BV DR ED HDRZ NMD OTB RVS VNDW ZA ZV 
16,11,AHPR BMN DID EDC HDR HMN KLP VNDC WF WTV ZP 
17,11,APD DV DVN LC LTN OP RHN VD VEM VP WL 
18,12,AML APDO BNZ DTCH DVC GO KBK KTR OST RH RL TWL 
19,9,AMRI APDM BNC DDN DTC HON LTV VZ WH 
20,6,BNN DA GDR HGLG RSN ZL 
21,15,ASN DL HGL HGV HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
22,19,AKM BL BN DRON ES ESK GN HDE HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
23,15,ATN DEI ESE FN FWD GERP GNN GW HDB HDG LWC MG SKND SWD ZH 
24,15,BDM BF BP CO DRP DWE GBG GBR GK HLG KW SDA SK WSM WW 
25,10,DLN EMNZ HLGH IJT MTH STM UST WFM WS WWW 
26,7,APG EMN HGZ LP NSCH UHZ WK 
27,6,DZ DZW HNP UHM WR ZB 
28,4,KMW LEER RD VDM 
29,2,EEM STV 
