hopcount,size,stations
1,2,BKF HKS 
2,2,EKZ HNK 
3,1,HN 
4,5,ASS OBD PMO PMR ZD 
5,8,ASD ASDL HLM HWD HWZB KZ PMW SHL 
6,18,ALM AMRN ASA ASB ASDM ASDZ GVC HAD HFD HLMS HVS LEDN OVN RTD SGN UT ZDK ZZS 
7,39,AC ALMB ALMO ALMP AMF AMR ANA ASHD ASSP BD BRN DB DDR DVD DVNK GD GDG GV HIL HT HVSP KLP LAA LDL LLS MAS NVP RSD RTB RTN UTLR UTM UTO UTVR VB WD WM ZTM ZVT 
8,47,AMFS APD APN BGN BHV BKL BNK CAS DDRS DDZD DMN DMNZ DRON DT DV EHV ETN GVMW HDRZ HGV HLO HOR HTO HVL KMA MRN NKK NS NWK O RAI RTA RTZ SD SSH TB UTLN UTT UTZL VG VH VST WV YPB ZL ZLW ZTMO 
9,52,AML APDM APDO ASN AVAT BDG BDPB BL BNN BSK BTL CPS DL DTCP DVC GP GS GVM HD HDE HDR HM HMBV HNO HR HTN KPNZ KRG LLZM LW MP OST PT RAT RB RLB RS RSW RTST RVS SDM SDTB ST TBU UTG VNDW VTN WP WT ZLSH ZP ZVB 
10,50,AKM AMPO AMRI ARN BET BMN BNC BRD BSKS BZL DEI DN EML FN FWD GN GW HDG HK HMBH HMH HON HRN HTNC HZE KBD KBK KPN LC LWC MDB MG NDB NVD ODB OMN OT OW RM SKND STZ SWK TBR TWL VD VNDC VZ WC WH WZ 
11,35,ALMM BN BNZ BP BSMZ BV CL DA DLD DRP DWE EC EHS GERP GNN GO GZ HDB HLG HRT MRB MZ RHN RL RSN SK SM STD SWD VEM VS VSS WADN ZH ZWD 
12,26,BDM BF BR CO DDN DRH GBG GDM GK GLN HLGH HRL HVSM IJT KW LTN LTV LUT MT RV SDA SRN VHP WAD WDN WSM 
13,23,BK BSD DLN EDC EMNZ HGLG HRLW LG MTH MTN MTR SBK SPTN STM TPSW UST VL WADT WFM WK WS WWW ZBM 
14,21,APG BDE ED EDN EGH EGHM EMN HGL HGZ HNP LDM LP MES NSCH SN SPTZ TG TL UHZ VDL WW 
15,19,AH AKL BLL CVM DZ DZW ES ESK HGLO KMR KMW KTR NH ODZ SGL UHM WF WR ZB 
16,17,AHP AHZ DR ESE EST GR HB KRD LEER NM OP OTB RD SOG STV VDM ZV 
17,11,AHPR BHDV DID EEM GBR HMN NMGO NMH NML VK WTV 
18,7,DVN GND MMLH NMD VP WL ZA 
19,5,CK DTCH HBZM RH SDT 
20,2,BMR DTC 
21,2,GDR VLB 
22,2,TBG VRY 
23,1,VSV 
24,1,ATN 
