hopcount,size,stations
1,2,EC STD 
2,5,GLN HRL LUT MT RM 
3,8,BK HRLW LG MTN MTR SBK SM WT 
4,10,BDE EDN EGH EGHM EHV MES MZ RV SN VDL 
5,11,BD CVM EHS HMBV HT HZE KMR NH SGL TB TG 
6,16,BDPB BET DDR ETN GP HB HTO KRD O RSD RTD SOG TBU UT VL ZBM 
7,30,AMF ASA ASB ASD BGN BR BTL DDRS DT DTCP DVD GD GDG GDM MAS ODB RS RTA RTB RTN SDM TBR UTLR UTM UTO UTZL VK WD ZLW ZWD 
8,39,AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS DDZD DMNZ GS GV GZ HLM HOR HRT HVSP KRG LLZM NKK NS NWK OT OW RAI RB RSW SDTB SHL TPSW UTT VG VRY WADT ZVB 
9,33,AC APN ARN ASDL ASSP AVAT BLL BZL DLD DN GVC GVMW HAD HD HFD HN HTNC HVS HWZB KBD LAA LDM MDB OVN PMR PT RLB TL VLB VTN WAD ZD ZTMO 
10,30,AKL BMR BSK CAS DMN EML GVM HLMS HM HMBH HNK HTN HVSM KZ LDL NDB NVP PMO RTST RTZ SPTZ STZ VB VS VSS WADN YPB ZDK ZTM ZVT 
11,16,AMPO AMR BSKS BSMZ CK GR HKS HLO HMH LEDN PMW SPTN ST UTLN WP ZZS 
12,12,ALMM AMRN BHDV BKG DRH DVNK MMLH SD SSH UTVR VH WM 
13,10,ALM BKF BNK BRN GND HIL HWD KMA NMH VST 
14,12,ALMB ALMO ALMP DB EKZ HBZM LLS NM OBD SDT SGN UTG 
15,8,AH ANA EST HK MRN NMGO NML WC 
16,12,AHP AHZ BV DR ED HDRZ NMD OTB RVS VNDW ZA ZV 
17,11,AHPR BMN DID EDC HDR HMN KLP VNDC WF WTV ZP 
18,11,APD DV DVN LC LTN OP RHN VD VEM VP WL 
19,12,AML APDO BNZ DTCH DVC GO KBK KTR OST RH RL TWL 
20,9,AMRI APDM BNC DDN DTC HON LTV VZ WH 
21,6,BNN DA GDR HGLG RSN ZL 
22,15,ASN DL HGL HGV HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
23,19,AKM BL BN DRON ES ESK GN HDE HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
24,15,ATN DEI ESE FN FWD GERP GNN GW HDB HDG LWC MG SKND SWD ZH 
25,15,BDM BF BP CO DRP DWE GBG GBR GK HLG KW SDA SK WSM WW 
26,10,DLN EMNZ HLGH IJT MTH STM UST WFM WS WWW 
27,7,APG EMN HGZ LP NSCH UHZ WK 
28,6,DZ DZW HNP UHM WR ZB 
29,4,KMW LEER RD VDM 
30,2,EEM STV 
