hopcount,size,stations
1,2,SOG VDL 
2,2,HRLW VK 
3,2,HRL SGL 
4,4,HB LG MES STD 
5,7,EGH EGHM LUT MTN NH RM SRN 
6,6,CVM EC MT SM SN WT 
7,7,BDE EHV KRD MTR MZ RV SBK 
8,10,BD BK EDN EHS GLN HMBV HT HZE TB TG 
9,13,BDPB BET DDR ETN GP HTO O RSD RTD TBU UT VL ZBM 
10,29,AMF ASA ASB ASD BGN BR BTL DDRS DT DTCP DVD GD GDG GDM MAS ODB RS RTA RTB RTN SDM TBR UTLR UTM UTO UTZL WD ZLW ZWD 
11,39,AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS DDZD DMNZ GS GV GZ HLM HOR HRT HVSP KRG LLZM NKK NS NWK OT OW RAI RB RSW SDTB SHL TPSW UTT VG VRY WADT ZVB 
12,33,AC APN ARN ASDL ASSP AVAT BLL BZL DLD DN GVC GVMW HAD HD HFD HN HTNC HVS HWZB KBD LAA LDM MDB OVN PMR PT RLB TL VLB VTN WAD ZD ZTMO 
13,30,AKL BMR BSK CAS DMN EML GVM HLMS HM HMBH HNK HTN HVSM KZ LDL NDB NVP PMO RTST RTZ SPTZ STZ VB VS VSS WADN YPB ZDK ZTM ZVT 
14,16,AMPO AMR BSKS BSMZ CK GR HKS HLO HMH LEDN PMW SPTN ST UTLN WP ZZS 
15,12,ALMM AMRN BHDV BKG DRH DVNK MMLH SD SSH UTVR VH WM 
16,10,ALM BKF BNK BRN GND HIL HWD KMA NMH VST 
17,12,ALMB ALMO ALMP DB EKZ HBZM LLS NM OBD SDT SGN UTG 
18,8,AH ANA EST HK MRN NMGO NML WC 
19,12,AHP AHZ BV DR ED HDRZ NMD OTB RVS VNDW ZA ZV 
20,11,AHPR BMN DID EDC HDR HMN KLP VNDC WF WTV ZP 
21,11,APD DV DVN LC LTN OP RHN VD VEM VP WL 
22,12,AML APDO BNZ DTCH DVC GO KBK KTR OST RH RL TWL 
23,9,AMRI APDM BNC DDN DTC HON LTV VZ WH 
24,6,BNN DA GDR HGLG RSN ZL 
25,15,ASN DL HGL HGV HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
26,19,AKM BL BN DRON ES ESK GN HDE HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
27,15,ATN DEI ESE FN FWD GERP GNN GW HDB HDG LWC MG SKND SWD ZH 
28,15,BDM BF BP CO DRP DWE GBG GBR GK HLG KW SDA SK WSM WW 
29,10,DLN EMNZ HLGH IJT MTH STM UST WFM WS WWW 
30,7,APG EMN HGZ LP NSCH UHZ WK 
31,6,DZ DZW HNP UHM WR ZB 
32,4,KMW LEER RD VDM 
33,2,EEM STV 
