hopcount,size,stations
1,4,CO GBG MRB OMN 
2,4,DL DLN EMNZ VHP 
3,3,DA EMN ZL 
4,16,ALMO AMF AMFS ASN HD HGV HNO KPNZ LLS MP NS VZ WH WV WZ ZLSH 
5,22,AKM ALM ALMB AML BL BRN DLD DRON EML GN HDE HR HRN HVL HVS KPN LW NKK OST SWK UT WD 
6,40,ALMM ALMP AMRI ASD ASDZ AVAT BDG BHV BNN DB DEI DV DVD FN FWD GD GDG GERP GNN GW HDG HGL HVSM HVSP LWC MAS MG NDB NVD PT SD SKND STZ SWD UTLR UTM UTVR UTZL WDN ZH 
7,49,AMPO APD APN ASA ASB ASS BDM BF BKL BN BNC BNK BP BSMZ DRP DWE ES ESK GK GV GVC HGLG HGLO HLG HLM HOR KW LLZM MRN NWK ODZ RAI RAT RSN RTA RTD SDA SHL SK ST TWL UTLN UTO UTT VB WADT WP WSM ZP 
8,45,AC APDM APDO ASDL ASHD BLL BMN BNZ BSK CPS DDN DMN DMNZ DR DT DTCP ESE GVMW HAD HFD HLGH HN HON HTN HWZB IJT LAA LDL MTH OVN PMR RTB RTN SDM STM UST VD VEM VNDW VTN WAD WFM WS ZD ZTMO 
9,34,AH APG ASSP BSKS CAS DVC GBR GO HGZ HIL HLMS HNK HTNC KBK KZ LEDN LP LTN NSCH NVP PMO RH RL RSW RTZ SPTZ UHZ VNDC WADN WK YPB ZDK ZTM ZVT 
10,29,AHZ AMR ASDM CL DVNK DZ DZW ED EST HKS HLO HNP LC LTV NM OTB PMW RHN RLB RTST SPTN SSH UHM VH VP WC WR ZB ZZS 
11,22,AHPR AMRN BKG BRD DRH EDC GDM KLP KMW LEER NMGO NMH NML O RD RVS VDM VST WF WM WWW ZA 
12,16,AHP BKF BSD EEM GVM HMN HT HWD KMA MMLH NMD OW STV WW ZBM ZWD 
13,13,ATN CK EHV EKZ LDM OBD OP RS SGN TB UTG VG WTV 
14,15,AKL ANA BD BMR BTL DVN GP HK HM HMBV HTO KTR TBU VSV WT 
15,15,BDPB BET BV ETN GR HDRZ HMBH HMH HZE OT RSD TBR TL VLB ZV 
16,9,BGN BHDV DID EHS GZ HDR MZ TPSW VRY 
17,6,BR GND GS KRG RB WL 
18,9,ARN BZL DTCH HBZM HRT KBD MDB SDT VL 
19,6,DN DTC SDTB TG VS VSS 
20,3,DDRS GDR RV 
21,3,DDR SM TBG 
22,3,DDZD RM ZLW 
23,3,EC STD ZVB 
24,6,GLN HRL LUT MT ODB SRN 
25,6,BK HRLW LG MTN MTR SBK 
26,7,BDE EDN EGH EGHM MES SN VDL 
27,4,CVM KMR NH SGL 
28,3,HB KRD SOG 
29,1,VK 
