hopcount,size,stations
1,1,ZLSH 
2,1,ZL 
3,17,ALMO AMF AMFS APD ASN DL HD HGV HNO KPNZ LLS MP NS RAT WH WV WZ 
4,23,AKM ALM ALMB APDM BL BRN DLD DRON EML GN HDE HR HRN HVL HVS LW NKK NVD OMN OST SWK UT WD 
5,42,ALMM ALMP AML ASD ASDZ AVAT BDG BHV BNN DB DEI DV DVD FN FWD GD GDG GERP GNN GW HDB HDG HT HVSM HVSP KBK LWC MAS MG MRB NDB PT SD SKND STZ SWD UTLR UTM UTVR UTZL WDN ZH 
6,51,AMPO AMRI APN ASA ASB ASS BDM BF BKL BNC BNK BP BSMZ CO DRP DVC DWE EHV GBG GK GV GVC HGL HLG HLM HOR HTO KW LLZM MRN NWK RAI RSN RTA RTD SDA SHL SK ST TB TWL UTLN UTO UTT VB VG VHP WADT WP WSM ZP 
7,59,AC APDO ASDL ASHD BD BLL BMN BN BNZ BSK BTL CPS DA DLN DMN DMNZ DR DT DTCP EMNZ ES ESK GP GVMW HAD HFD HGLG HGLO HLGH HM HMBV HN HON HTN HWZB IJT LAA LC LDL MTH ODZ OVN PMR RTB RTN SDM STM TBU UST VD VEM VNDW VTN WAD WFM WS WT ZD ZTMO 
8,42,AH APG ASSP BDPB BET BSKS CAS DDN EMN ESE ETN HGZ HIL HLMS HMBH HMH HNK HTNC HZE KZ LEDN LP LTN NSCH NVP OT PMO RH RL RSW RTZ SPTZ TBR UHZ VNDC VZ WADN WK YPB ZDK ZTM ZVT 
9,33,AHZ AMR ASDM CL DVNK DZ DZW ED EHS EST GBR GO GZ HKS HLO HNP LTV MZ NM OTB PMW RHN RLB RTST SPTN SSH UHM VH VP WC WR ZB ZZS 
10,22,AHPR AMRN BKG BRD DRH EDC GDM KLP KMW LEER NMGO NMH NML O RD RVS VDM VST WF WM WWW ZA 
11,15,AHP BKF BSD EEM GVM HMN HWD KMA MMLH NMD OW STV WW ZBM ZWD 
12,10,ATN CK EKZ LDM OBD OP RS SGN UTG WTV 
13,7,AKL ANA BMR DVN HK KTR VSV 
14,6,BV GR HDRZ TL VLB ZV 
15,5,BHDV DID HDR TPSW VRY 
16,3,BR GND WL 
17,5,DTCH HBZM HRT SDT VL 
18,4,DN DTC SDTB TG 
19,3,DDRS GDR RV 
20,3,DDR SM TBG 
21,4,DDZD RM RSD ZLW 
22,4,BGN EC STD ZVB 
23,9,GLN GS HRL KRG LUT MT ODB RB SRN 
24,10,ARN BK BZL HRLW KBD LG MDB MTN MTR SBK 
25,9,BDE EDN EGH EGHM MES SN VDL VS VSS 
26,4,CVM KMR NH SGL 
27,3,HB KRD SOG 
28,1,VK 
