hopcount,size,stations
1,3,AMRN CAS HLO 
2,3,HWD UTG ZD 
3,6,ASS HK KMA OBD SGN ZDK 
4,9,ANA ASD ASDL BV HN HWZB PMW SHL WM 
5,14,ALM ASA ASB ASDM ASDZ DRH HDRZ HFD HNK HVS PMO PMR UT ZZS 
6,25,AC ALMB ALMO ALMP AMF ASHD ASSP BRN DB DVD HDR HKS HT HVSP KLP KZ LLS MAS NVP SPTN UTLR UTM UTO UTVR WD 
7,30,AMFS APD BHV BKG BKL BNK DMN DMNZ DRON DV EHV HGV HOR HTO HVL MRN NKK NS O RAI SD SPTZ SSH TB UTLN UTT UTZL VG WV ZL 
8,36,AML APDM APDO ASN AVAT BKF BL BLL BNN BTL DL DVC GP HD HDE HM HMBV HNO HR HTN KPNZ LW MP OST PT RAT RS RVS ST TBU VNDW VTN WP WT ZLSH ZP 
9,44,AKM AMPO AMRI BET BMN BNC DEI DN EKZ EML FN FWD GN GW HDG HLM HMBH HMH HON HRN HTNC HZE KBK KPN LC LWC MG NDB NVD OMN OT OW RM SKND STZ SWK TBR TWL VD VNDC VZ WC WH WZ 
10,33,ALMM BN BNZ BP BSMZ CL DA DLD DRP DWE EC EHS GERP GNN GO GZ HAD HDB HLG HLMS HRT MRB MZ OVN RHN RL RSN SK SM STD SWD VEM ZH 
11,27,BDM BF BR CO DDN GBG GDM GK GLN HIL HLGH HRL HVSM IJT KW LEDN LTN LTV LUT MT RV SDA SRN VHP WDN WSM ZVT 
12,27,BK BSD DLN DVNK EDC EMNZ GV GVC HGLG HRLW LAA LDL LG MTH MTN MTR SBK STM TPSW UST VH VL WFM WK WS WWW ZBM 
13,26,APG APN BDE DT ED EDN EGH EGHM EMN GVMW HGL HGZ HNP LDM LP MES NSCH SN TG TL UHZ VB VDL VST WW ZTM 
14,27,AH AKL BDG BSK CVM DTCP DZ DZW ES ESK GVM HGLO KMR KMW KTR NH ODZ RSW RTD SDM SGL UHM WF WR YPB ZB ZTMO 
15,24,AHP AHZ BD BSKS DDR DR ESE EST GR HB KRD LEER LLZM NM OP OTB RD RSD RTB RTN SOG STV VDM ZV 
16,18,AHPR BGN BHDV DDRS DDZD DID EEM ETN GBR HMN NMGO NMH NML RTZ VK WADN WTV ZLW 
17,15,BDPB DVN GS KRG MMLH NMD RB RLB RTST SDTB VP WAD WL ZA ZVB 
18,11,ARN BRD BZL CK DTCH KBD MDB ODB RH SDT WADT 
19,8,BMR DTC GD GND HBZM VS VSS ZWD 
20,5,GDG GDR NWK RTA VLB 
21,3,CPS TBG VRY 
22,1,VSV 
23,1,ATN 
